"Country","Total"
"Afghanistan","43"
"Albania","98"
"Algeria","88"
"Andorra","100"
"Angola","50"
"Antigua and Barbuda","88"
"Argentina",""
"Armenia","94"
"Australia","100"
"Austria","100"
"Azerbaijan","93"
"Bahamas","95"
"Bahrain","100"
"Bangladesh","48"
"Barbados","97"
"Belarus","98"
"Belgium","99"
"Belize","88"
"Benin","16"
"Bhutan","69"
"Bolivia (Plurinational State of)","61"
"Bosnia and Herzegovina","95"
"Botswana","77"
"Brazil","88"
"Brunei Darussalam",""
"Bulgaria","86"
"Burkina Faso","19"
"Burundi","46"
"Cabo Verde","74"
"Cambodia","59"
"Cameroon","39"
"Canada","99"
"Central African Republic",""
"Chad","8"
"Chile","100"
"China","85"
"Colombia","90"
"Comoros","36"
"Congo","20"
"Cook Islands","98"
"Costa Rica","98"
"C̫te d'Ivoire","32"
"Croatia","97"
"Cuba","93"
"Cyprus","99"
"Czechia","99"
"Democratic People's Republic of Korea","83"
"Democratic Republic of the Congo","20"
"Denmark","100"
"Djibouti","64"
"Dominica",""
"Dominican Republic","84"
"Ecuador","88"
"Egypt","94"
"El Salvador","87"
"Equatorial Guinea","66"
"Eritrea",""
"Estonia","99"
"Eswatini","58"
"Ethiopia","7"
"Fiji","95"
"Finland","99"
"France","99"
"Gabon","47"
"Gambia","39"
"Georgia","90"
"Germany","99"
"Ghana","18"
"Greece","99"
"Grenada","91"
"Guatemala","65"
"Guinea","23"
"Guinea-Bissau","21"
"Guyana","86"
"Haiti","35"
"Honduras","81"
"Hungary","98"
"Iceland","99"
"India","60"
"Indonesia","73"
"Iran (Islamic Republic of)","88"
"Iraq","94"
"Ireland","91"
"Israel","100"
"Italy","99"
"Jamaica","87"
"Japan","100"
"Jordan","97"
"Kazakhstan","98"
"Kenya","29"
"Kiribati","48"
"Kuwait","100"
"Kyrgyzstan","97"
"Lao People's Democratic Republic","74"
"Latvia","92"
"Lebanon","98"
"Lesotho","43"
"Liberia","17"
"Libya","100"
"Lithuania","93"
"Luxembourg","98"
"Madagascar","11"
"Malawi","26"
"Malaysia","100"
"Maldives","99"
"Mali","39"
"Malta","100"
"Marshall Islands","83"
"Mauritania","48"
"Mauritius","96"
"Mexico","91"
"Micronesia (Federated States of)","88"
"Monaco","100"
"Mongolia","58"
"Montenegro","98"
"Morocco","89"
"Mozambique","29"
"Myanmar","64"
"Namibia","35"
"Nauru","66"
"Nepal","62"
"Netherlands","98"
"New Zealand","100"
"Nicaragua","74"
"Niger","14"
"Nigeria","39"
"Niue","97"
"Norway","98"
"Oman","100"
"Pakistan","60"
"Palau","100"
"Panama","83"
"Papua New Guinea","13"
"Paraguay","90"
"Peru","74"
"Philippines","77"
"Poland","99"
"Portugal","100"
"Qatar","100"
"Republic of Korea","100"
"Republic of Moldova","76"
"North Macedonia","99"
"Romania","84"
"Russian Federation","90"
"Rwanda","67"
"Saint Kitts and Nevis",""
"Saint Lucia","88"
"Saint Vincent and the Grenadines","87"
"Samoa","98"
"San Marino","100"
"Sao Tome and Principe","43"
"Saudi Arabia","100"
"Senegal","51"
"Serbia","98"
"Seychelles","100"
"Sierra Leone","16"
"Singapore","100"
"Slovakia","98"
"Slovenia","99"
"Solomon Islands","34"
"Somalia","38"
"South Africa","76"
"South Sudan","11"
"Spain","100"
"Sri Lanka","96"
"Sudan","37"
"Suriname","84"
"Sweden","99"
"Switzerland","100"
"Syrian Arab Republic","91"
"Tajikistan","97"
"Thailand","99"
"Timor-Leste","54"
"Togo","16"
"Tonga","93"
"Trinidad and Tobago","93"
"Tunisia","91"
"Turkey","97"
"Turkmenistan","99"
"Tuvalu","84"
"Uganda","18"
"Ukraine","96"
"United Arab Emirates","99"
"United Kingdom of Great Britain and Northern Ireland","99"
"United Republic of Tanzania","30"
"United States of America","100"
"Uruguay","97"
"Uzbekistan","100"
"Vanuatu","34"
"Venezuela (Bolivarian Republic of)","94"
"Viet Nam","84"
"Yemen","59"
"Zambia","26"
"Zimbabwe","36"
